lfd_nr;thema_id;thema_name;zeile;kapitel;schwierigkeit;typ;zeichen;frage;loesung;einheit;anmerkung;erklaerung;hilfe;von;2;3;4;5;6;7;8;9
W037_Do;1;Wärmelehre;5;Wärmeausbreitung;1;w;;Wahr oder falsch? Luft ist ein guter Wärmeleiter.;falsch;;;;;;;;;;;;;
W038_Do;1;Wärmelehre;5;Wärmeausbreitung;1;w;;Wahr oder falsch? Wasser ist ein guter Wärmeleiter.;falsch;;;;;;;;;;;;;
W039_Do;1;Wärmelehre;5;Wärmeausbreitung;1;w;;Wahr oder falsch? Silber ist ein guter Wärmeleiter.;wahr;;;;;;;;;;;;;
W040_Do;1;Wärmelehre;5;Wärmeausbreitung;1;1Y;;Man spricht von ..., wenn sich Wärme ohne einen Stoff ausbreitet.;Wärmestrahlung;;;;;;;;;;;;;
W041_Do;1;Wärmelehre;5;Wärmeausbreitung;2;1o2Y;;Wie nennt man die in der Medizin eingesetzte Wärmestrahlung noch?;Infrarotstrahlung;;;;;;infrarot;;;;;;;
W042_Do;1;Wärmelehre;5;Wärmeausbreitung;1;2o3e4o6;;... Flächen nehmen mehr Strahlung auf als ... Flächen.;Dunkle … helle;;;;;;dunkle;schwarze;helle;weiße;weisse;;;
W043_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o(2u3)Y;;Die niedrigste Temperatur beträgt -273,15 °Celsius. Nenne dafür den Fachbegriff.;absoluter Nullpunkt;;;;;;absolute;Nullpunkt;;;;;;
W044_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1;;"Für was steht ""°C""?";Grad Celsius;;;;;;;;;;;;;
W045_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1;;"Für was steht ""K""?";Kelvin;;;;;;;;;;;;;
W046_Do;1;Wärmelehre;1;Temperatur und Thermometer;2;1Y;;"Für was steht ""°F""?";Fahrenheit;;;;;;;;;;;;;
W047_Do;1;Wärmelehre;4;Aggregatzustände;1;w;;Wahr oder falsch? Die Teilchen in einem Gas haben eine höhere Bewegungsenergie als die Teilchen in einer Flüssigkeit.;wahr;;;;;;;;;;;;;
W048_Do;1;Wärmelehre;4;Aggregatzustände;1;w;;Wahr oder falsch? Die Bewegungenergie der Teilchen ist  in Festkörpern ist höher als die Bewegungsenergie in Gasen.;falsch;;;;;;;;;;;;;
W049_Do;1;Wärmelehre;5;Wärmeausbreitung;1;w;;Wahr oder falsch? Helle Flächen erwärmen sich mehr als dunkle Flächen.;falsch;;;;;;;;;;;;;
W050_Do;1;Wärmelehre;5;Wärmeausbreitung;1;w;;Wahr oder falsch? Warme Luft steigt in einer kühlen Umgebung nach oben.;wahr;;;;;;;;;;;;;
W051_Do;1;Wärmelehre;2;Ausdehnung;2;w;;Wahr oder falsch? Aufgrund von extremen Temperaturunterschieden, können riesige Fesblöcke auseinanderbrechen.;wahr;;;;;;;;;;;;;
W052_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o3;;Bei wieviel °Celsius liegt die Siedetemperatur von Wasser?;100°Celsius;;Bei normalem Luftdruck (1020hPa);;;;100 Grad Celsius;100°C;;;;;;
W053_Do;1;Wärmelehre;3;Anomalie des Wassers;1;1o(2u4)o(5u6);;Was versteht man unter der Anomalie des Wassers?;Wasser dehnt sich beim Gefrieren aus;;;Wegen dieser Anomalie platzen Getränkeflaschen im Gefrierschrank;;;Wasser;4°C;dehnt;Wasser;frier;dehnt;;
W054_Do;1;Wärmelehre;1;Temperatur und Thermometer;3;1o2;;Du siehst hier drei verschiedene Thermometerskalen. Wie heißt die linke?;Fahrenheitskala;;;;;1834;;;;;;;;
W055_Do;1;Wärmelehre;4;Aggregatzustände;3;2u(3o4)u(5o6);;"Wasser kann ""vedunsten"" oder ""verdampfen"". Was bedeuted ""verdunsten""?";Wasserdampf entsteht schon unterhalb der Siedetemperatur;;;;;1834;weniger;unterhalb;Siedetemperatur;100;;;;
